@id,@lon,@lat,name
310289760,21.4167030,42.0001541,Broz Cafe
411008299,21.4232268,41.9948867,Benneton
411008532,21.4230113,41.9948604,AMG
411009859,21.4253358,41.9955693,Strip
441057694,21.4082395,42.0051454,Cafeteria
459666031,21.4139237,42.0069784,
459670767,21.4310013,41.9952414,Caffe Skopje
459670881,21.4298360,41.9926530,Play Cafe
459672751,21.4164328,41.9939731,
459673240,21.4162239,41.9934306,9
459752642,21.4373453,41.9984414,Bistro Opera Pub
459801246,21.3999451,42.0031059,Мартини
459802458,21.4159604,42.0047028,Бугати
1355292490,21.4172620,42.0009888,Кафе Змија
1355306911,21.4175044,42.0007963,Кафе Филипос
1475388233,21.3479915,42.0313055,
1615830879,21.3983460,42.0034224,Fluid
1752184797,21.4091295,41.9972910,Ли
1850511008,21.4484000,42.0582551,Royal
1850511013,21.4502266,42.0601350,Шема
1851476126,21.4504664,41.9915282,Red Caffe
1860365710,21.4644629,42.0026068,Аристократ кафе
1868776879,21.4036050,42.0092296,Outlet Concept Store
1876583691,21.4768613,41.9897212,Кафе Писта
1876584011,21.4758817,41.9894222,Кафе Мамбо
2004975256,21.4659543,41.9851089,
2054895230,21.4324491,41.9950653,Up Cafe
2276498829,21.4093297,41.9959130,
2298054794,21.3722969,42.0071574,Badu
2539581007,21.4462340,41.9734649,Quatro Caffe
2539581507,21.4456656,41.9732771,Bass Cafe
2814545377,21.4308204,41.9955477,Bocata
2814545378,21.4308588,41.9949424,Coffee Factory 2
2883877894,21.4534598,41.9885844,Палма
2992591829,21.4370632,42.0017629,Mon Frere
3099553253,21.6274047,41.9608168,Cafe-inn
3101725379,21.4368849,41.9992410,Old Town
3101726037,21.4358699,42.0000003,Nargile Cafe
3103985004,21.4330712,41.9958677,Telekom Trend Lounge Bar
3341289752,21.4306195,41.9944452,Bistro Skopje
3341289753,21.4303650,41.9938562,Gnezdo
3341289786,21.4302256,41.9929701,Caffe Novo
3341289788,21.4298707,41.9927362,Caffe Bar Dolce Vita
3341289790,21.4293734,41.9923772,Corsso
3506696093,21.3909265,42.0041936,Trend Food Bar
3663767991,21.4150060,42.0038265,The Gallery
3663767992,21.4151255,42.0039722,MonAmi
3663767994,21.4151730,42.0040547,Жапон Кафе Бар
3663767995,21.4146731,42.0042809,Cafe Bela
3750783154,21.3921091,42.0038662,
3755532975,21.4127725,41.9994110,Концепт37
3832366897,21.4197114,41.9898526,
4059907155,21.4171739,41.9937283,Авантура
4183580089,21.6276146,41.9610488,Cakes & Bakes
4198944089,21.3862677,42.0046060,Ch2pter
4225448689,21.3990452,42.0151641,Tonnis Bakeri
4228828360,21.4041470,42.0137478,Coffeeshop Company lounge
4233194691,21.3418406,42.0433297,Makreshanki
4234144690,21.4168806,41.9984995,Belier
4247226994,21.3910392,42.0048738,Juicy and Co
4304451302,21.4366103,41.9994358,Clique Bar
4327921320,21.3981384,42.0033204,Prikazna
4337632794,21.5904910,41.9911364,
4359833889,21.4454673,41.9911127,
4375519489,21.4448074,41.9728434,Гет Кафе
4511016243,21.2795514,42.0436939,БАМИЛА
4516027391,21.4496023,41.9919726,
4658223491,21.5137772,42.0276010,Лав Фонтана
4846704245,21.4271773,41.9954521,Крин
4986311121,21.4534770,41.9885027,
5062450021,21.4378942,42.0131776,Te Flladi
5110720231,21.4375923,42.0011325,Shisha
5176248987,21.4192046,41.9927714,Изи
5284221296,21.4216953,42.0013652,Laika
5288522422,21.4230134,41.9958526,Еу ејџ
5292130834,21.4444199,41.9768128,63
5333583388,21.3991821,42.0034483,Giovani
5346935627,21.4099400,42.0047408,
5534803022,21.4218407,42.0023198,Кахава
5604182920,21.4253762,41.9986406,Mikel
5622210754,21.4181784,42.0087916,Централ Парк
5690140438,21.4264143,41.9922468,DejaVu
5690140660,21.4266738,41.9922273,Istanbul
5713714222,21.3885778,42.0229571,AvAv Dog Park
5775030453,21.4414844,41.9931868,
5841696956,21.3943158,41.9651051,
5841843563,21.2954889,41.9584413,Fresh
5859233985,21.4341981,42.0128215,Kandi
6018277285,21.4242861,41.9987593,
6018277485,21.4284228,41.9971825,Squeeze Me
6032865285,21.4361778,42.0002555,k8
6054020294,21.4186412,41.9946427,
6054032912,21.4284390,41.9970171,Manda Coffee Bar
6054035625,21.4276020,41.9938495,
6054036211,21.4172240,41.9992004,
6054036212,21.4172361,41.9990907,
6054048492,21.4233514,41.9970085,
6054048500,21.3056706,41.9797275,
6054048501,21.3278644,41.9996839,
6054048726,21.4158769,42.0003534,Paladin M
6054048730,21.4113199,41.9956401,Woodstock
6054049813,21.4173314,41.9947238,
6054050095,21.4244255,41.9980418,
6089711779,21.3970638,42.0038026,Led Zeppelin
6145381755,21.3994796,42.0030494,Sugarland
6228007184,21.3937780,42.0045660,Krem
6307066053,21.4230080,42.0012294,fourplay
6374712571,21.4109206,42.0055109,Joy Café & Bakery (Karposh)
6451451785,21.4260361,41.9907255,Coffee O'Clock
6577887485,21.4263142,41.9992458,Веган365Кујна
6680280012,21.4368049,41.9994044,Boomerang Shisha
6802029812,21.4297354,41.9973064,Home Brews
6814231792,21.4370091,41.9999671,Urban
6814246690,21.4364615,42.0003942,Coffe Tearoom Lachi
6814246723,21.4373153,41.9997970,Bomonti
6815434688,21.4225095,41.9967222,Toto
6815559888,21.4234973,41.9981835,Shakespeare Cafe
6815925985,21.4223059,41.9974479,Juicy&co
6815931287,21.4192379,42.0005998,Зафир
6815931391,21.4222629,42.0023667,Majahh
6821158386,21.4385935,42.0030613,Kairo
6821158388,21.4304151,41.9940274,Stay you
6821158389,21.4300488,41.9924937,JJ&S
6821158686,21.4346330,41.9976507,Mulliri
6821158695,21.4303890,41.9939851,MIG
6827032732,21.4381580,42.0009497,Gallery 7
6827072094,21.4406076,42.0027924,
6827074010,21.4402065,42.0027827,Sultan Kejf
6879115187,21.4147527,41.9906887,
6967285685,21.4246771,41.9979406,
7119714585,21.4134520,42.0019011,Рузвелт
7139002050,21.5433240,41.9941669,Дени Интернационал
8121684194,21.4297974,41.9932519,Cafe Barcelona
8188528781,21.4302080,41.9929511,Joy Café & Bakery (Centar)
8496716622,21.2703581,41.9843164,Burektore Bleta - ES
9163117743,21.4059250,41.9986280,Plato Coffee 2.0
9200216438,21.4245361,41.9949215,Lafe
9200216442,21.4326376,41.9899157,
9200216443,21.4355656,42.0010222,Coffee corner
